Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   602/60    0.004    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:71(_compile)
     1545    0.004    0.000    0.004    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:556(calculate_scaled_mouse_position)
     1643    0.004    0.000    0.011    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:77(join)
    25784    0.004    0.000    0.004    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:13(<lambda>)
     1531    0.004    0.000    0.006    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\surface_cache.py:44(update)
     1365    0.004    0.000    0.006    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:34(getHostileTerritoryNeighbours)
    10130    0.004    0.000    0.008    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:254(get)
     1531    0.004    0.000    0.462    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameUI.py:57(drawGUI)
  209/206    0.004    0.000    0.033    0.000 {built-in method builtins.__build_class__}
      589    0.004    0.000    0.005    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:96(getSuccessfullAttacks)
      410    0.003    0.000    0.041    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Game.py:210(onEvent)
     4606    0.003    0.000    0.004    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_container.py:67(get_rect)
     1178    0.003    0.000    0.013    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:73(rollDices)
      776    0.003    0.000    0.153    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:122(attackEnemyTerritoryBlitz)
     9721    0.003    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:121(_get_visible)
       55    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
    18194    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     2623    0.003    0.000    0.004    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\random.py:239(_randbelow_with_getrandbits)
     1531    0.003    0.000    0.009    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_selection_list.py:165(update)
      142    0.003    0.000    0.665    0.005 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:40(initiation_attack)
     6234    0.003    0.000    0.003    0.000 {method 'collidepoint' of 'pygame.Rect' objects}
      654    0.003    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:180(split)
      145    0.003    0.000    0.120    0.001 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:91(supply)
    18372    0.003    0.000    0.003    0.000 {built-in method _operator.truth}
      354    0.003    0.000    0.003    0.000 {built-in method winreg.EnumValue}
       21    0.003    0.000    0.003    0.000 {built-in method pygame.transform.smoothscale}
