Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1531    0.005    0.000    0.013    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:423(__iter__)
     1531    0.010    0.000    0.042    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:529(update)
     1531    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:834(sprites)
     1531    0.004    0.000    0.462    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameUI.py:57(drawGUI)
     1531    0.019    0.000    0.222    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:235(update)
     1531    0.018    0.000    0.105    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:302(_handle_hovering)
     1531    0.004    0.000    0.458    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:326(draw_ui)
     1531    0.005    0.000    0.013    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:550(_update_mouse_position)
     1531    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:589(set_text_input_hovered)
     1531    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:98(check_need_to_rebuild_data_manually_changed)
     1531    0.004    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:148(update_caching)
     1531    0.004    0.000    0.006    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\surface_cache.py:44(update)
     1531    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:763(can_hover)
     1531    0.004    0.000    0.454    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:265(draw)
     1531    0.007    0.000    0.049    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:271(update)
     1531    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:229(can_hover)
     1531    0.004    0.000    0.017    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:300(update)
     1531    0.003    0.000    0.009    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_selection_list.py:165(update)
     1531    0.450    0.000    0.450    0.000 {method 'blits' of 'pygame.Surface' objects}
     1531    0.007    0.000    0.007    0.000 {method 'tick' of 'Clock' objects}
     1531    0.168    0.000    0.168    0.000 {built-in method pygame.event.get}
     1531    0.798    0.001    0.798    0.001 {built-in method pygame.display.flip}
